/usr/share/fonts/truetype/padauk: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/truetype/porson: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/roboto: skipping, existing cache is valid: 0 fonts, 1 dirs
/usr/share/fonts/truetype/roboto/hinted: skipping, existing cache is valid: 18 fonts, 0 dirs
/usr/share/fonts/truetype/sinhala: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/solomos: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/takao-gothic: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/theokritos: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/tibetan-machine: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/tlwg: skipping, existing cache is valid: 58 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-bitstream-vera: skipping, existing cache is valid: 10 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-khmeros-core: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype/ubuntu-font-family: skipping, existing cache is valid: 13 fonts, 0 dirs
/usr/share/fonts/type1: skipping, existing cache is valid: 0 fonts, 2 dirs
/usr/share/fonts/type1/gsfonts: skipping, existing cache is valid: 35 fonts, 0 dirs
/usr/share/fonts/type1/texlive-fonts-recommended: skipping, existing cache is valid: 12 fonts, 0 dirs
/usr/share/fonts/woff: skipping, existing cache is valid: 0 fonts, 2 dirs
/usr/share/fonts/woff/font-awesome: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/woff/gentiumplus: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/local/share/fonts: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/texmf/fonts/opentype/public/lm: skipping, existing cache is valid: 72 fonts, 0 dirs
/usr/share/texmf/fonts/opentype/public/lm-math: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/texmf/fonts/opentype/public/tex-gyre: skipping, existing cache is valid: 33 fonts, 0 dirs
/usr/share/texmf/fonts/opentype/public/tex-gyre-math: skipping, existing cache is valid: 4 fonts, 0 dirs
Re-scanning /usr/share/fonts: caching, new cache contents: 0 fonts, 8 dirs
Re-scanning /usr/share/fonts/X11: caching, new cache contents: 0 fonts, 5 dirs
Re-scanning /usr/share/fonts/X11/encodings: caching, new cache contents: 0 fonts, 1 dirs
Re-scanning /usr/share/fonts/cmap: caching, new cache contents: 0 fonts, 5 dirs
Re-scanning /usr/share/fonts/eot: caching, new cache contents: 0 fonts, 1 dirs
Re-scanning /usr/share/fonts/opentype: caching, new cache contents: 0 fonts, 17 dirs
Re-scanning /usr/share/fonts/svg: caching, new cache contents: 0 fonts, 1 dirs
Re-scanning /usr/share/fonts/truetype: caching, new cache contents: 2 fonts, 46 dirs
Re-scanning /usr/share/fonts/truetype/roboto: caching, new cache contents: 0 fonts, 1 dirs
Re-scanning /usr/share/fonts/type1: caching, new cache contents: 0 fonts, 2 dirs
Re-scanning /usr/share/fonts/woff: caching, new cache contents: 0 fonts, 2 dirs
/var/cache/fontconfig: cleaning cache directory
fc-cache: succeeded
